CIK,Year,Quarter,Ticker,Stock Price,Total Revenue,Net Income,EPS,Operating Margin
0000002969,2016,2,APD,106.28,2434.40,354.10,1.60,22.00
0000002969,2016,4,APD,117.76,1882.50,306.40,1.38,17.40
0000002969,2017,1,APD,111.55,1980.10,2130.00,9.70,19.80
0000002969,2017,2,APD,118.73,2121.90,104.10,0.47,11.90
0000002969,2017,4,APD,137.82,2216.60,161.70,0.70,20.80
0000002969,2018,1,APD,134.52,2155.70,423.60,1.89,21.10
0000002969,2018,3,APD,143.24,2259.00,487.90,2.16,22.80
0000002969,2018,4,APD,138.18,2224.00,357.00,1.57,20.50
0000002969,2019,1,APD,165.88,2187.70,433.50,1.91,23.60
0000002969,2019,3,APD,194.75,2224.00,500.20,2.21,25.60
0000002969,2019,4,APD,207.30,2254.70,488.90,2.15,24.90
0000002969,2020,1,APD,177.24,2216.30,490.40,2.16,26.04
0000002969,2020,2,APD,215.61,2065.20,457.10,2.02,26.10
0000002969,2020,4,APD,246.30,2375.20,486.70,2.18,22.70
0000002969,2021,1,APD,254.98,2502.00,477.10,2.13,21.93
0000002969,2021,3,APD,234.68,2604.70,532.30,2.41,22.16
0000002969,2021,4,APD,280.18,2994.20,549.60,2.52,17.50
0000002969,2022,1,APD,231.61,2945.10,536.80,2.39,19.10
0000002969,2022,2,APD,224.37,3189.30,587.10,2.62,19.70
0000002969,2022,4,APD,291.15,3174.70,583.80,2.58,20.50
0000002969,2023,1,APD,272.97,3200.10,449.90,1.98,14.40
0000002969,2023,2,APD,286.38,3033.90,610.50,2.68,21.20
0000002969,2023,4,APD,265.08,2997.40,621.60,2.74,22.20
0000002969,2024,1,APD,236.28,2930.20,572.40,2.57,21.70
0000002969,2024,3,APD,292.38,2985.50,708.90,3.13,24.70
0000002969,2024,4,APD,286.52,2931.50,649.80,2.77,22.00
0000004962,2000,2,AXP,32.41,5970.00,740.00,0.56,17.51
0000004962,2000,3,AXP,37.83,5981.00,737.00,0.56,
0000004962,2001,1,AXP,25.79,5719.00,538.00,0.41,12.96
0000004962,2001,2,AXP,24.28,5268.00,178.00,0.13,2.90
0000004962,2001,3,AXP,18.22,5724.00,298.00,0.23,6.19
0000004962,2002,1,AXP,25.81,5759.00,618.00,0.47,14.90
0000004962,2002,2,AXP,22.94,5945.00,683.00,0.52,16.17
0000004962,2002,3,AXP,19.73,5907.00,687.00,0.52,
0000004962,2003,1,AXP,21.13,6023.00,692.00,0.53,16.53
0000004962,2003,2,AXP,26.65,6356.00,762.00,0.59,17.26
0000004962,2003,3,AXP,28.79,6419.00,770.00,0.60,
0000004962,2004,1,AXP,33.33,6910.00,794.00,0.62,12.53
0000004962,2004,2,AXP,33.10,7258.00,876.00,0.69,12.06
0000004962,2004,3,AXP,33.15,7202.00,879.00,0.70,17.41
0000004962,2005,1,AXP,33.32,7573.00,946.00,0.76,18.16
0000004962,2005,2,AXP,34.60,8002.00,1013.00,0.82,16.49
0000004962,2005,3,AXP,37.34,6068.00,1030.00,0.84,14.26
0000004962,2006,1,AXP,39.21,6332.00,873.00,0.71,13.83
0000004962,2006,2,AXP,39.80,6850.00,945.00,0.78,21.04
0000004962,2006,3,AXP,42.05,6759.00,967.00,0.80,
0000004962,2007,1,AXP,42.51,7631.00,1057.00,0.89,13.95
0000004962,2007,2,AXP,46.24,8199.00,1057.00,0.90,12.96
0000004962,2007,3,AXP,44.98,7953.00,1067.00,0.91,17.82
0000004962,2008,1,AXP,33.32,8105.00,991.00,0.86,12.02
0000004962,2008,2,AXP,28.82,8097.00,653.00,0.56,8.08
0000004962,2008,3,AXP,27.22,,815.00,0.71,
0000004962,2009,1,AXP,10.62,5926.00,437.00,0.31,9.18
0000004962,2009,2,AXP,18.48,6092.00,102.00,0.09,6.86
0000004962,2009,3,AXP,27.11,6016.00,640.00,0.54,15.26
0000004962,2010,1,AXP,33.28,6606.00,885.00,0.74,13.39
0000004962,2010,2,AXP,32.17,10118.00,1017.00,0.84,10.05
