CIK,Year,Quarter,Ticker,Stock Price,Total Revenue,Net Income,EPS,Operating Margin
320193,2013,3,AAPL,14.75,35323.0,6900.0,7.51,26.05
320193,2013,4,AAPL,17.46,57594.0,13072.0,14.59,30.32
320193,2014,1,AAPL,16.81,45646.0,10223.0,11.69,29.78
320193,2014,2,AAPL,20.48,37432.0,7748.0,1.29,27.48
320193,2015,1,AAPL,27.79,74599.0,18024.0,3.08,32.5
320193,2015,2,AAPL,28.13,58010.0,13569.0,2.34,31.5
320193,2015,3,AAPL,24.85,49605.0,10677.0,1.86,28.4
320193,2016,1,AAPL,24.79,75872.0,18361.0,3.3,31.83
320193,2016,3,AAPL,26.01,42358.0,7796.0,1.43,23.85
320193,2017,1,AAPL,33.37,78351.0,17891.0,3.38,29.81
320193,2017,3,AAPL,36.09,52896.0,11029.0,2.11,26.67
320193,2018,1,AAPL,39.59,88293.0,20065.0,3.92,29.77
320193,2018,3,AAPL,53.66,53265.0,11519.0,2.36,23.69
320193,2019,1,AAPL,45.5,84310.0,19965.0,4.22,27.7
320193,2019,2,AAPL,47.59,58015.0,11561.0,2.47,23.1
320193,2019,3,AAPL,54.06,53809.0,10044.0,2.2,21.45
320193,2020,1,AAPL,61.71,91819.0,22236.0,5.04,27.83
320193,2020,2,AAPL,88.77,58313.0,11249.0,2.58,22.05
320193,2020,3,AAPL,112.93,59685.0,11253.0,2.61,21.93
320193,2021,1,AAPL,119.49,111439.0,28755.0,1.7,30.06
320193,2021,2,AAPL,134.21,89584.0,23630.0,1.41,30.69
320193,2021,3,AAPL,138.86,81434.0,21744.0,1.31,29.6
320193,2022,1,AAPL,171.83,123945.0,34630.0,2.11,33.47
320193,2022,2,AAPL,134.74,97278.0,25010.0,1.54,30.83
320193,2022,3,AAPL,136.39,82959.0,19442.0,1.2,27.8
320193,2023,1,AAPL,163.25,117154.0,29998.0,1.89,30.73
320193,2023,2,AAPL,192.3,94836.0,24160.0,1.53,29.84
320193,2023,3,AAPL,169.96,81797.0,19881.0,1.27,28.13
