CIK,Ticker,Year,Quarter,Total Revenue,Net Income,Operating Margin,EPS,Stock Price
1551152,ABBV,2015,1,5040.0,1022.0,33.45,0.64,38.28
1551152,ABBV,2015,2,5475.0,1366.0,33.8,0.84,44.3
1551152,ABBV,2015,3,5944.0,1239.0,31.72,0.75,36.14
1551152,ABBV,2016,1,5958.0,1354.0,38.27,0.83,38.69
1551152,ABBV,2016,2,6452.0,1610.0,36.97,0.99,42.34
1551152,ABBV,2016,3,6432.0,1598.0,36.7,0.97,43.51
1551152,ABBV,2017,1,6538.0,1711.0,37.0,1.07,45.82
1551152,ABBV,2017,2,6944.0,1915.0,38.53,1.2,51.5
1551152,ABBV,2017,3,6995.0,1631.0,38.67,1.02,63.68
1551152,ABBV,2018,1,7934.0,2783.0,36.61,1.74,68.79
1551152,ABBV,2018,2,8278.0,1983.0,33.35,1.26,68.03
1551152,ABBV,2018,3,8236.0,2747.0,38.38,1.81,70.16
1551152,ABBV,2019,1,7828.0,2456.0,38.44,1.65,61.16
1551152,ABBV,2019,2,8255.0,741.0,41.2,0.49,55.92
1551152,ABBV,2019,3,8479.0,1884.0,30.86,1.27,59.12
1551152,ABBV,2020,1,8619.0,3010.0,41.79,2.02,61.17
1551152,ABBV,2020,2,10425.0,-738.0,7.22,-0.46,80.0
1551152,ABBV,2020,3,12902.0,2308.0,25.23,1.3,72.24
1551152,ABBV,2021,1,13010.0,3553.0,31.53,1.99,91.53
1551152,ABBV,2021,2,13959.0,766.0,31.8,0.42,96.42
1551152,ABBV,2021,3,14342.0,3179.0,30.01,1.78,93.37
1551152,ABBV,2022,1,13538.0,4490.0,34.85,2.51,143.49
1551152,ABBV,2022,2,14583.0,924.0,22.59,0.52,136.72
1551152,ABBV,2022,3,14812.0,3949.0,31.07,2.22,120.93
1551152,ABBV,2023,1,12225.0,239.0,22.63,0.13,146.44
1551152,ABBV,2023,2,13865.0,2024.0,32.55,1.14,124.94
1551152,ABBV,2023,3,13927.0,1778.0,16.38,1.0,139.76
1551152,ABBV,2024,1,12310.0,1369.0,22.73,0.77,174.09
1551152,ABBV,2024,2,14462.0,1370.0,27.64,0.77,165.51
1551152,ABBV,2024,3,14460.0,1561.0,26.49,0.88,192.31
1800,ABT,2000,2,3370.15,685.2,24.97,0.44,10.55
1800,ABT,2000,3,3317.9,654.42,23.66,0.42,11.31
1800,ABT,2001,1,3559.88,-223.61,-4.6,-0.14,11.32
1800,ABT,2001,2,4099.12,529.05,14.6,0.34,11.56
1800,ABT,2001,3,4181.19,631.4,17.81,0.41,12.54
1800,ABT,2002,1,4189.29,854.28,24.94,0.55,12.83
1800,ABT,2002,2,4314.89,592.27,15.83,0.38,9.22
1800,ABT,2002,3,4341.24,720.05,21.03,0.46,9.96
1800,ABT,2003,1,4580.46,800.98,21.4,0.51,9.38
1800,ABT,2003,2,4723.64,246.64,6.89,0.16,10.99
1800,ABT,2003,3,4845.88,761.22,18.8,0.49,10.74
1800,ABT,2004,1,5216.05,822.91,19.79,0.53,10.49
1800,ABT,2004,2,4703.05,634.26,16.93,0.41,12.03
1800,ABT,2004,3,4681.67,804.08,21.85,0.52,12.58
1800,ABT,2005,1,5382.68,837.89,21.11,0.54,14.01
1800,ABT,2005,2,5523.8,877.05,19.8,0.56,14.81
1800,ABT,2005,3,5384.0,680.71,15.43,0.44,12.89
1800,ABT,2006,1,5183.46,864.88,20.52,0.57,13.08
1800,ABT,2006,2,5501.12,612.24,9.87,0.4,13.52
1800,ABT,2006,3,5573.77,715.84,12.37,0.47,15.16
1800,ABT,2007,1,5290.28,697.54,16.6,0.45,17.63
1800,ABT,2007,2,6370.62,988.74,18.62,0.64,17.02
1800,ABT,2007,3,6376.71,717.01,14.53,0.46,17.14
1800,ABT,2008,1,6765.6,937.87,16.96,0.61,17.84
1800,ABT,2008,2,7314.02,1322.01,19.24,0.86,17.25
1800,ABT,2008,3,7497.66,1084.61,18.62,0.7,18.87
1800,ABT,2009,1,6718.37,1438.64,15.8,0.93,15.86
1800,ABT,2009,2,7494.88,1288.11,22.3,0.83,15.78
1800,ABT,2009,3,7761.34,1480.37,21.13,0.95,16.74
1800,ABT,2010,1,7698.35,1003.02,19.1,0.65,18.1
1800,ABT,2010,2,8826.01,1291.65,18.19,0.83,16.21
1800,ABT,2010,3,8674.51,890.66,13.6,0.58,18.27
1800,ABT,2011,1,9040.85,863.82,14.38,0.56,17.46
1800,ABT,2011,2,9616.29,1942.78,18.45,1.24,18.91
1800,ABT,2011,3,9816.67,303.18,6.06,0.19,18.54
1800,ABT,2012,1,9456.63,1242.12,16.67,0.79,22.62
1800,ABT,2012,2,9807.1,1724.61,21.46,1.09,24.0
1800,ABT,2012,3,9773.24,1942.81,20.37,1.22,25.72
1800,ABT,2013,1,5377.9,544.66,11.44,0.35,27.93
1800,ABT,2013,2,5446.03,476.06,11.53,0.3,27.69
1800,ABT,2013,3,5369.14,965.73,11.74,0.62,26.45
1800,ABT,2014,1,5244.0,375.0,8.6,0.24,31.0
1800,ABT,2014,2,5551.0,466.0,13.71,0.3,33.12
1800,ABT,2014,3,5104.0,538.0,14.32,0.36,33.86
1800,ABT,2015,1,4897.0,2292.0,12.46,1.52,38.12
1800,ABT,2015,2,5170.0,784.0,14.1,0.52,40.58
1800,ABT,2015,3,5150.0,580.0,13.83,0.39,33.42
1800,ABT,2016,1,4885.0,316.0,10.73,0.21,35.18
1800,ABT,2016,2,5333.0,615.0,15.31,0.41,33.26
1800,ABT,2016,3,5302.0,-329.0,16.91,-0.22,36.0
1800,ABT,2017,1,6335.0,419.0,-3.19,0.24,38.29
1800,ABT,2017,2,6637.0,283.0,6.43,0.16,42.17
1800,ABT,2017,3,6829.0,603.0,11.86,0.34,46.55
1800,ABT,2018,1,7390.0,418.0,8.23,0.24,52.78
1800,ABT,2018,2,7767.0,733.0,11.35,0.42,53.98
1800,ABT,2018,3,7656.0,563.0,13.0,0.32,65.22
1800,ABT,2019,1,7535.0,672.0,9.81,0.38,71.69
1800,ABT,2019,2,7979.0,1006.0,15.12,0.57,75.73
1800,ABT,2019,3,8076.0,960.0,14.82,0.54,75.63
1800,ABT,2020,1,7726.0,564.0,9.82,0.32,71.92
1800,ABT,2020,2,7328.0,537.0,9.17,0.3,83.68
1800,ABT,2020,3,8853.0,1232.0,16.88,0.69,99.99
1800,ABT,2021,1,10456.0,1793.0,20.16,1.0,110.92
1800,ABT,2021,2,10223.0,1189.0,13.61,0.67,107.69
1800,ABT,2021,3,10928.0,2100.0,23.3,1.18,110.15
1800,ABT,2022,1,11895.0,2447.0,24.48,1.38,111.18
1800,ABT,2022,2,11257.0,2018.0,21.1,1.15,102.47
